Web Search interest: scandal
Worldwide; 2004 - present

Interest over time
Week,scandal
2008-06-22 - 2008-06-28,16
2008-06-29 - 2008-07-05,15
2008-07-06 - 2008-07-12,18
2008-07-13 - 2008-07-19,17
2008-07-20 - 2008-07-26,18
2008-07-27 - 2008-08-02,19
2008-08-03 - 2008-08-09,24
2008-08-10 - 2008-08-16,20
2008-08-17 - 2008-08-23,18
2008-08-24 - 2008-08-30,22
2008-08-31 - 2008-09-06,24
2008-09-07 - 2008-09-13,20
2008-09-14 - 2008-09-20,20
2008-09-21 - 2008-09-27,19
2008-09-28 - 2008-10-04,19
2008-10-05 - 2008-10-11,20
2008-10-12 - 2008-10-18,18
2008-10-19 - 2008-10-25,19
2008-10-26 - 2008-11-01,19
2008-11-02 - 2008-11-08,21
2008-11-09 - 2008-11-15,20
2008-11-16 - 2008-11-22,18
2008-11-23 - 2008-11-29,16
2008-11-30 - 2008-12-06,17
2008-12-07 - 2008-12-13,20
2008-12-14 - 2008-12-20,21
2008-12-21 - 2008-12-27,21
2008-12-28 - 2009-01-03,21
2009-01-04 - 2009-01-10,21
2009-01-11 - 2009-01-17,19
2009-01-18 - 2009-01-24,18
2009-01-25 - 2009-01-31,18
2009-02-01 - 2009-02-07,19
2009-02-08 - 2009-02-14,19
2009-02-15 - 2009-02-21,21
2009-02-22 - 2009-02-28,20
2009-03-01 - 2009-03-07,21
2009-03-08 - 2009-03-14,20
2009-03-15 - 2009-03-21,19
2009-03-22 - 2009-03-28,19
2009-03-29 - 2009-04-04,19
2009-04-05 - 2009-04-11,21
2009-04-12 - 2009-04-18,20
2009-04-19 - 2009-04-25,21
2009-04-26 - 2009-05-02,19
2009-05-03 - 2009-05-09,24
2009-05-10 - 2009-05-16,29
2009-05-17 - 2009-05-23,67
2009-05-24 - 2009-05-30,47
2009-05-31 - 2009-06-06,34
2009-06-07 - 2009-06-13,28
2009-06-14 - 2009-06-20,26
2009-06-21 - 2009-06-27,27
2009-06-28 - 2009-07-04,26
2009-07-05 - 2009-07-11,23
2009-07-12 - 2009-07-18,24
2009-07-19 - 2009-07-25,23
2009-07-26 - 2009-08-01,22
2009-08-02 - 2009-08-08,28
2009-08-09 - 2009-08-15,33
2009-08-16 - 2009-08-22,25
2009-08-23 - 2009-08-29,22
2009-08-30 - 2009-09-05,21
2009-09-06 - 2009-09-12,22
2009-09-13 - 2009-09-19,24
2009-09-20 - 2009-09-26,24
2009-09-27 - 2009-10-03,23
2009-10-04 - 2009-10-10,27
2009-10-11 - 2009-10-17,23
2009-10-18 - 2009-10-24,28
2009-10-25 - 2009-10-31,23
2009-11-01 - 2009-11-07,24
2009-11-08 - 2009-11-14,25
2009-11-15 - 2009-11-21,27
2009-11-22 - 2009-11-28,27
2009-11-29 - 2009-12-05,45
2009-12-06 - 2009-12-12,31
2009-12-13 - 2009-12-19,28
2009-12-20 - 2009-12-26,29
2009-12-27 - 2010-01-02,34
2010-01-03 - 2010-01-09,30
2010-01-10 - 2010-01-16,32
2010-01-17 - 2010-01-23,26
2010-01-24 - 2010-01-30,26
2010-01-31 - 2010-02-06,31
2010-02-07 - 2010-02-13,31
2010-02-14 - 2010-02-20,30
2010-02-21 - 2010-02-27,32
2010-02-28 - 2010-03-06,45
2010-03-07 - 2010-03-13,36
2010-03-14 - 2010-03-20,33
2010-03-21 - 2010-03-27,44
2010-03-28 - 2010-04-03,36
2010-04-04 - 2010-04-10,33
2010-04-11 - 2010-04-17,32
2010-04-18 - 2010-04-24,32
2010-04-25 - 2010-05-01,32
2010-05-02 - 2010-05-08,34
2010-05-09 - 2010-05-15,33
2010-05-16 - 2010-05-22,31
2010-05-23 - 2010-05-29,34
2010-05-30 - 2010-06-05,31
2010-06-06 - 2010-06-12,32
2010-06-13 - 2010-06-19,36
2010-06-20 - 2010-06-26,35
2010-06-27 - 2010-07-03,33
2010-07-04 - 2010-07-10,32
2010-07-11 - 2010-07-17,29
2010-07-18 - 2010-07-24,33
2010-07-25 - 2010-07-31,29
2010-08-01 - 2010-08-07,27
2010-08-08 - 2010-08-14,28
2010-08-15 - 2010-08-21,27
2010-08-22 - 2010-08-28,29
2010-08-29 - 2010-09-04,31
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,32
2010-09-19 - 2010-09-25,37
2010-09-26 - 2010-10-02,42
2010-10-03 - 2010-10-09,40
2010-10-10 - 2010-10-16,49
2010-10-17 - 2010-10-23,39
2010-10-24 - 2010-10-30,36
2010-10-31 - 2010-11-06,34
2010-11-07 - 2010-11-13,32
2010-11-14 - 2010-11-20,33
2010-11-21 - 2010-11-27,33
2010-11-28 - 2010-12-04,31
2010-12-05 - 2010-12-11,31
2010-12-12 - 2010-12-18,32
2010-12-19 - 2010-12-25,34
2010-12-26 - 2011-01-01,33
2011-01-02 - 2011-01-08,34
2011-01-09 - 2011-01-15,29
2011-01-16 - 2011-01-22,30
2011-01-23 - 2011-01-29,27
2011-01-30 - 2011-02-05,29
2011-02-06 - 2011-02-12,32
2011-02-13 - 2011-02-19,28
2011-02-20 - 2011-02-26,27
2011-02-27 - 2011-03-05,28
2011-03-06 - 2011-03-12,27
2011-03-13 - 2011-03-19,25
2011-03-20 - 2011-03-26,26
2011-03-27 - 2011-04-02,28
2011-04-03 - 2011-04-09,27
2011-04-10 - 2011-04-16,27
2011-04-17 - 2011-04-23,27
2011-04-24 - 2011-04-30,30
2011-05-01 - 2011-05-07,27
2011-05-08 - 2011-05-14,29
2011-05-15 - 2011-05-21,29
2011-05-22 - 2011-05-28,29
2011-05-29 - 2011-06-04,30
2011-06-05 - 2011-06-11,31
2011-06-12 - 2011-06-18,30
2011-06-19 - 2011-06-25,27
2011-06-26 - 2011-07-02,26
2011-07-03 - 2011-07-09,29
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,35
2011-07-24 - 2011-07-30,30
2011-07-31 - 2011-08-06,27
2011-08-07 - 2011-08-13,29
2011-08-14 - 2011-08-20,41
2011-08-21 - 2011-08-27,30
2011-08-28 - 2011-09-03,28
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,29
2011-09-18 - 2011-09-24,28
2011-09-25 - 2011-10-01,27
2011-10-02 - 2011-10-08,27
2011-10-09 - 2011-10-15,26
2011-10-16 - 2011-10-22,26
2011-10-23 - 2011-10-29,27
2011-10-30 - 2011-11-05,30
2011-11-06 - 2011-11-12,74
2011-11-13 - 2011-11-19,45
2011-11-20 - 2011-11-26,29
2011-11-27 - 2011-12-03,33
2011-12-04 - 2011-12-10,40
2011-12-11 - 2011-12-17,32
2011-12-18 - 2011-12-24,29
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,29
2012-01-22 - 2012-01-28,30
2012-01-29 - 2012-02-04,27
2012-02-05 - 2012-02-11,29
2012-02-12 - 2012-02-18,26
2012-02-19 - 2012-02-25,28
2012-02-26 - 2012-03-03,27
2012-03-04 - 2012-03-10,27
2012-03-11 - 2012-03-17,28
2012-03-18 - 2012-03-24,27
2012-03-25 - 2012-03-31,28
2012-04-01 - 2012-04-07,33
2012-04-08 - 2012-04-14,33
2012-04-15 - 2012-04-21,42
2012-04-22 - 2012-04-28,37
2012-04-29 - 2012-05-05,33
2012-05-06 - 2012-05-12,34
2012-05-13 - 2012-05-19,34
2012-05-20 - 2012-05-26,32
2012-05-27 - 2012-06-02,32
2012-06-03 - 2012-06-09,30
2012-06-10 - 2012-06-16,30
2012-06-17 - 2012-06-23,29
2012-06-24 - 2012-06-30,29
2012-07-01 - 2012-07-07,29
2012-07-08 - 2012-07-14,31
2012-07-15 - 2012-07-21,29
2012-07-22 - 2012-07-28,35
2012-07-29 - 2012-08-04,38
2012-08-05 - 2012-08-11,30
2012-08-12 - 2012-08-18,31
2012-08-19 - 2012-08-25,33
2012-08-26 - 2012-09-01,30
2012-09-02 - 2012-09-08,29
2012-09-09 - 2012-09-15,35
2012-09-16 - 2012-09-22,35
2012-09-23 - 2012-09-29,37
2012-09-30 - 2012-10-06,34
2012-10-07 - 2012-10-13,34
2012-10-14 - 2012-10-20,37
2012-10-21 - 2012-10-27,36
2012-10-28 - 2012-11-03,35
2012-11-04 - 2012-11-10,35
2012-11-11 - 2012-11-17,40
2012-11-18 - 2012-11-24,32
2012-11-25 - 2012-12-01,36
2012-12-02 - 2012-12-08,37
2012-12-09 - 2012-12-15,39
2012-12-16 - 2012-12-22,38
2012-12-23 - 2012-12-29,35
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,39
2013-01-13 - 2013-01-19,38
2013-01-20 - 2013-01-26,35
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,47
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,41
2013-02-24 - 2013-03-02,43
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,38
2013-03-17 - 2013-03-23,37
2013-03-24 - 2013-03-30,37
2013-03-31 - 2013-04-06,42
2013-04-07 - 2013-04-13,38
2013-04-14 - 2013-04-20,36
2013-04-21 - 2013-04-27,40
2013-04-28 - 2013-05-04,43
2013-05-05 - 2013-05-11,63
2013-05-12 - 2013-05-18,64
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,41
2013-06-02 - 2013-06-08,41
2013-06-09 - 2013-06-15,38
2013-06-16 - 2013-06-22,36
2013-06-23 - 2013-06-29,38
2013-06-30 - 2013-07-06,37
2013-07-07 - 2013-07-13,38
2013-07-14 - 2013-07-20,36
2013-07-21 - 2013-07-27,39
2013-07-28 - 2013-08-03,48
2013-08-04 - 2013-08-10,71
2013-08-11 - 2013-08-17,43
2013-08-18 - 2013-08-24,43
2013-08-25 - 2013-08-31,40
2013-09-01 - 2013-09-07,100
2013-09-08 - 2013-09-14,49
2013-09-15 - 2013-09-21,44
2013-09-22 - 2013-09-28,45
2013-09-29 - 2013-10-05,73
2013-10-06 - 2013-10-12,53
2013-10-13 - 2013-10-19,49
2013-10-20 - 2013-10-26,46
2013-10-27 - 2013-11-02,47
2013-11-03 - 2013-11-09,48
2013-11-10 - 2013-11-16,52
2013-11-17 - 2013-11-23,49
2013-11-24 - 2013-11-30,46
2013-12-01 - 2013-12-07,53
2013-12-08 - 2013-12-14,49
2013-12-15 - 2013-12-21,45
2013-12-22 - 2013-12-28,45
2013-12-29 - 2014-01-04,47
2014-01-05 - 2014-01-11,54
2014-01-12 - 2014-01-18,50
2014-01-19 - 2014-01-25,45
2014-01-26 - 2014-02-01,44
2014-02-02 - 2014-02-08,47
2014-02-09 - 2014-02-15,42
2014-02-16 - 2014-02-22,46
2014-02-23 - 2014-03-01,56
2014-03-02 - 2014-03-08,49
2014-03-09 - 2014-03-15,46
2014-03-16 - 2014-03-22,47
2014-03-23 - 2014-03-29,49
2014-03-30 - 2014-04-05,47
2014-04-06 - 2014-04-12,49
2014-04-13 - 2014-04-19,57
2014-04-20 - 2014-04-26,49
2014-04-27 - 2014-05-03,44
2014-05-04 - 2014-05-10,42
2014-05-11 - 2014-05-17,40
2014-05-18 - 2014-05-24,43
2014-05-25 - 2014-05-31,41
2014-06-01 - 2014-06-07,41
2014-06-08 - 2014-06-14,38
2014-06-15 - 2014-06-21,39
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,43
2014-07-06 - 2014-07-12,42
2014-07-13 - 2014-07-19,42
2014-07-20 - 2014-07-26,42
2014-07-27 - 2014-08-02,85
2014-08-03 - 2014-08-09,49
2014-08-10 - 2014-08-16,49
2014-08-17 - 2014-08-23,49
2014-08-24 - 2014-08-30,42
2014-08-31 - 2014-09-06,51
2014-09-07 - 2014-09-13,44
2014-09-14 - 2014-09-20,44
2014-09-21 - 2014-09-27,71
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,62
2014-10-12 - 2014-10-18,53
2014-10-19 - 2014-10-25,53
2014-10-26 - 2014-11-01,51
2014-11-02 - 2014-11-08,48
2014-11-09 - 2014-11-15,47
2014-11-16 - 2014-11-22,48
2014-11-23 - 2014-11-29,41
2014-11-30 - 2014-12-06,41
2014-12-07 - 2014-12-13,40
2014-12-14 - 2014-12-20,36
2014-12-21 - 2014-12-27,39
2014-12-28 - 2015-01-03,42
2015-01-04 - 2015-01-10,44
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,43
2015-01-25 - 2015-01-31,48
2015-02-01 - 2015-02-07,56
2015-02-08 - 2015-02-14,51
2015-02-15 - 2015-02-21,51
2015-02-22 - 2015-02-28,48
2015-03-01 - 2015-03-07,45


Top regions for scandal
Region,scandal
Philippines,100
Bangladesh,24
Northern Mariana Islands,17
Pakistan,13
Singapore,10
Guam,9
Brunei,9
Montenegro,8
Qatar,7
Barbados,7
Zimbabwe,7
United Arab Emirates,7
Trinidad & Tobago,7
Malaysia,6
Serbia,6
Nepal,6
Papua New Guinea,6
India,6
Botswana,6
Ghana,6
Vietnam,6
Malawi,6
Bahamas,5
Jamaica,5
Cayman Islands,5
Bermuda,5
Kenya,5
St. Helena,5
Côte d’Ivoire,4
Nigeria,4
United States,4
Zambia,4
Macau,4
South Africa,4
Bosnia & Herzegovina,4
Bahrain,4
Uganda,4
Cambodia,4
Mauritius,4
Indonesia,3
Bolivia,3
Senegal,3
Kuwait,3
Fiji,3
Namibia,3
Maldives,3
Canada,3
Oman,3
Saudi Arabia,3
Hong Kong,3
Romania,3
Congo (DRC),3
Australia,3
Sri Lanka,3
Guadeloupe,3
Haiti,2
Tanzania,2
Martinique,2
Lebanon,2
Ireland,2
Afghanistan,2
Cameroon,2
New Zealand,2
United Kingdom,2
Malta,2
Iceland,2
Myanmar (Burma),2
Macedonia (FYROM),2
Réunion,2
Puerto Rico,1
Cyprus,1
Mongolia,1
South Korea,1
Slovenia,1
Albania,1
Sweden,1
Japan,1
Luxembourg,1
Angola,1
France,1
Norway,1
Thailand,1
Taiwan,1
Ethiopia,1
Morocco,1
Italy,1
Switzerland,1
Algeria,1
Tunisia,1
Netherlands,1
Croatia,1
Greece,1
Panama,1
Belgium,1
Portugal,1
Sudan,1
Latvia,1
Libya,1
Jordan,1
Israel,1
Georgia,1
Moldova,1
Denmark,1
Estonia,1
Egypt,1
Dominican Republic,1
Syria,1
Bulgaria,1
Finland,1
Austria,1


Top cities for scandal
City,scandal
Quezon City (Philippines),100
Manila (Philippines),86
Makati City (Philippines),82
Cebu City (Philippines),76
Parañaque City (Philippines),74
Davao City (Philippines),70
Mandaluyong City (Philippines),45
Dhaka (Bangladesh),22
Karachi (Pakistan),11
Singapore (Singapore),10
Lahore (Pakistan),10
New Delhi (India),6
Dubai (United Arab Emirates),6
Ho Chi Minh City (Vietnam),6
Bangalore (India),6



Top searches for scandal
video scandal,100
pinay scandal,60
indian scandal,40
mms scandal,35
mms,35
scandal videos,30
celebrity scandal,30
watch scandal,25
pinoy scandal,25
scandal season 3,25
scandal online,25
scandal season 4,15
scandal season 2,15
sungkyunkwan scandal,15
wally scandal,15
desi scandal,15
watergate scandal,15
watergate,15
scandal season 1,10
wally bayola scandal,10
scandal abc,10
scandal wiki,10
watch scandal online,10
scandal streaming,10
scandal cast,10
hayden kho scandal,10
chito miranda scandal,10
vanessa hudgens,10
vanessa hudgens scandal,10
indian mms scandal,10
paolo bediones scandal,10
katrina halili scandal,10
enron scandal,10
phim scandal,10
enron,10
miley cyrus scandal,10
penn state scandal,10
katrina halili,10
scandal episodes,5
edison chen scandal,5
edison chen,5
scandal tv show,5
scandal sao,5
celeb scandal,5
obama scandal,5
filipina scandal,5
scandal saison 3,5
scandal band,5



Rising searches for scandal
scandal season 2,Breakout
scandal season 3,Breakout
scandal season 4,Breakout
watch scandal,+1,100%
pinay scandal,+950%
pinoy scandal,+550%
scandal videos,+550%
indian scandal,+450%
mms scandal,+200%
scandal online,+200%



